指标键,统计期日期,原始数值,来源,来源优先级,生效日期,状态
综合|2-制造业PMI,2019-02-28,49.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-03-31,50.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-04-30,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-05-31,49.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-06-30,49.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-07-31,49.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-08-31,49.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-09-30,49.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-10-31,49.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-11-30,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-12-31,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-01-31,50.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-02-29,35.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-03-31,52.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-04-30,50.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-05-31,50.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-06-30,50.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-07-31,51.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-08-31,51.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-09-30,51.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-10-31,51.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
