研究排名,股票代码,评分日期,总分,置信度,研究状态,评分状态,准入结论
209,600160,2026-07-28,65.0162,0.3134,观察,数据不足,数据不足
210,600233,2026-07-28,64.9946,0.2925,观察,数据不足,数据不足
211,002463,2026-07-28,64.9539,0.2925,观察,数据不足,数据不足
212,600221,2026-07-28,64.6766,0.3169,观察,数据不足,数据不足
213,600938,2026-07-28,64.4978,0.3134,观察,数据不足,数据不足
214,601058,2026-07-28,64.4487,0.31,观察,数据不足,数据不足
215,600584,2026-07-28,64.1755,0.3134,观察,数据不足,数据不足
216,000333,2026-07-28,63.8946,0.3169,观察,数据不足,数据不足
217,603288,2026-07-28,63.4662,0.2889,观察,数据不足,数据不足
218,000538,2026-07-28,63.3577,0.3169,观察,数据不足,数据不足
219,001391,2026-07-28,63.0237,0.2603,观察,数据不足,数据不足
220,600887,2026-07-28,62.757,0.3169,观察,数据不足,数据不足
221,603369,2026-07-28,62.6555,0.3134,观察,数据不足,数据不足
222,000651,2026-07-28,62.6301,0.3134,观察,数据不足,数据不足
223,000657,2026-07-28,62.6201,0.3065,观察,数据不足,数据不足
224,600519,2026-07-28,62.606,0.2792,观察,数据不足,数据不足
225,600809,2026-07-28,62.5194,0.2954,观察,数据不足,数据不足
226,002415,2026-07-28,62.4725,0.6164,观察,可评价,基本面不准入
227,002920,2026-07-28,62.3026,0.31,观察,数据不足,数据不足
228,603799,2026-07-28,61.8444,0.2716,观察,数据不足,数据不足
229,600426,2026-07-28,61.5149,0.31,观察,数据不足,数据不足
230,002916,2026-07-28,61.0448,0.296,观察,数据不足,数据不足
231,300750,2026-07-28,60.9563,0.6164,观察,可评价,基本面不准入
232,600549,2026-07-28,60.7661,0.296,观察,数据不足,数据不足
233,600600,2026-07-28,60.7208,0.2889,观察,数据不足,数据不足
234,601633,2026-07-28,60.4711,0.264,观察,数据不足,数据不足
235,000725,2026-07-28,60.3836,0.2793,观察,数据不足,数据不足
236,000596,2026-07-28,60.2356,0.3134,观察,数据不足,数据不足
