股票代码,评分日期,盈利质量覆盖率,成长质量覆盖率,财务健康覆盖率,估值合理性覆盖率,治理与事件风险覆盖率,盈利质量评分,成长质量评分,财务健康评分,估值合理性评分,治理与事件风险评分,总分,置信度,评分状态,硬风险,准入结论
600016,2026-07-28,0.6,0.65,0.25,0.5,0.0,3.3991,3.1479,1.7813,9.4812,0,39.835,0.2009,数据不足,,数据不足
600019,2026-07-28,1.0,0.65,1.0,0.5,0.0,3.6158,4.4984,7.2916,8.1125,0,54.2726,0.3169,数据不足,,数据不足
600028,2026-07-28,1.0,0.65,1.0,0.5,0.0,3.1576,2.7664,6.0394,7.0312,0,43.3492,0.3134,数据不足,,数据不足
600029,2026-07-28,1.0,0.3,1.0,0.5,0.0,5.3498,6.7587,5.7241,4.2688,0,56.4417,0.2793,数据不足,,数据不足
600030,2026-07-28,0.6,0.65,0.5,0.5,0.0,7.7202,7.3535,6.1036,7.4438,0,72.13,0.2102,数据不足,,数据不足
600031,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.2816,6.044,5.0365,5.2812,0,54.3883,0.3169,数据不足,,数据不足
600036,2026-07-28,0.6,0.65,0.25,0.5,0.0,7.0863,3.3365,1.7813,8.725,0,51.3892,0.1987,数据不足,,数据不足
600050,2026-07-28,1.0,0.65,1.0,0.5,0.0,4.0728,3.5868,6.2407,7.3375,0,49.6367,0.2891,数据不足,,数据不足
000858,2026-07-28,1.0,0.65,0.75,0.5,0.0,6.3478,1.8717,5.4518,5.0188,0,46.838,0.2954,数据不足,,数据不足
000002,2026-07-28,0.7,0.3,1.0,0.5,0.0,1.1821,1.1888,3.2412,9.6,0,30.4451,0.2406,数据不足,,数据不足
