生效日期,股票代码,股票名称
2020-01-13,SH_600104,上汽集团
2020-01-13,SH_600109,国金证券
2020-01-13,SH_600111,北方稀土
2020-01-13,SH_600115,东方航空
2020-01-13,SH_600118,中国卫星
2020-01-13,SH_600153,建发股份
2020-01-13,SH_600170,上海建工
2020-01-13,SH_600176,中国巨石
2020-01-13,SH_600177,雅戈尔
2020-01-13,SH_600183,生益科技
2020-01-13,SH_600188,兖州煤业
2020-01-13,SH_600196,复星医药
2020-01-13,SH_600208,新湖中宝
2020-01-13,SH_600219,南山铝业
2020-01-13,SH_600221,海航控股
2020-01-13,SH_600233,圆通速递
2020-01-13,SH_600271,航天信息
2020-01-13,SH_600276,恒瑞医药
2020-01-13,SH_600297,广汇汽车
2020-01-13,SH_600299,安迪苏
2020-01-13,SH_600309,万华化学
2020-01-13,SH_600332,白云山
2020-01-13,SH_600340,华夏幸福
2020-01-13,SH_600346,恒力石化
2020-01-13,SH_600352,浙江龙盛
2020-01-13,SH_600362,江西铜业
2020-01-13,SH_600369,西南证券
2020-01-13,SH_600372,中航电子
2020-01-13,SH_600383,金地集团
2020-01-13,SH_600390,五矿资本
2020-01-13,SH_600398,海澜之家
2020-01-13,SH_600406,国电南瑞
2020-01-13,SH_600436,片仔癀
2020-01-13,SH_600438,通威股份
2020-01-13,SH_600482,中国动力
2020-01-13,SH_600487,亨通光电
2020-01-13,SH_600489,中金黄金
2020-01-13,SH_600498,烽火通信
2020-01-13,SH_600516,方大炭素
2020-01-13,SH_600519,贵州茅台
2020-01-13,SH_600522,中天科技
2020-01-13,SH_600535,天士力
2020-01-13,SH_600547,山东黄金
2020-01-13,SH_600566,济川药业
2020-01-13,SH_600570,恒生电子
2020-01-13,SH_600583,海油工程
2020-01-13,SH_600585,海螺水泥
2020-01-13,SH_600588,用友网络
2020-01-13,SH_600606,绿地控股
2020-01-13,SH_600637,东方明珠
2020-01-13,SH_600655,豫园股份
2020-01-13,SH_600660,福耀玻璃
2020-01-13,SH_600663,陆家嘴
2020-01-13,SH_600674,川投能源
2020-01-13,SH_600690,海尔智家
2020-01-13,SH_600703,三安光电
2020-01-13,SH_600705,中航资本
2020-01-13,SH_600733,北汽蓝谷
2020-01-13,SH_600741,华域汽车
2020-01-13,SH_600760,中航沈飞
2020-01-13,SH_600795,国电电力
2020-01-13,SH_600809,山西汾酒
2020-01-13,SH_600816,安信信托
2020-01-13,SH_600837,海通证券
2020-01-13,SH_600848,上海临港
2020-01-13,SH_600867,通化东宝
2020-01-13,SH_600886,国投电力
2020-01-13,SH_600887,伊利股份
2020-01-13,SH_600893,航发动力
2020-01-13,SH_600900,长江电力
2020-01-13,SH_600919,江苏银行
2020-01-13,SH_600926,杭州银行
2020-01-13,SH_600928,西安银行
2020-01-13,SH_600958,东方证券
2020-01-13,SH_600968,海油发展
2020-01-13,SH_600977,中国电影
2020-01-13,SH_600989,宝丰能源
2020-01-13,SH_600998,九州通
2020-01-13,SH_600999,招商证券
2020-01-13,SH_601006,大秦铁路
2020-01-13,SH_601009,南京银行
2020-01-13,SH_601012,隆基股份
2020-01-13,SH_601018,宁波港
2020-01-13,SH_601021,春秋航空
2020-01-13,SH_601066,中信建投
2020-01-13,SH_601088,中国神华
2020-01-13,SH_601108,财通证券
2020-01-13,SH_601111,中国国航
