股票代码,报告期,实际披露日,数据截止日,评分日期,数据来源,来源等级,收入,归母净利润,扣非净利润,经营现金流净额,自由现金流,FCF净利比,ROE,ROIC,收入3年CAGR,扣非净利润3年CAGR,资产负债率,应收周转天数,存货周转天数,有息负债率,利息保障倍数,PE_TTM,PB_MRQ,估值日期,估值数据状态,毛利率,净利率,审计意见,数据状态,备注,FCF_Yield,大股东质押率,商誉净资产比,EV_EBITDA,监管处罚次数,关联交易风险,诉讼仲裁次数,对外担保风险
1391,20251231,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,5220036532.0,472054517.0,390465121.0,794522377.0,794522377.0,1.683115717331437,0.0174,0.01738953,,0.4794569150391219,0.11053743,52.506418,0.094423,0.0,-44134.5079,21.43,1.94,2026-07-30,当前估值快照，历史估值待核验,12.296577,9.046272,是,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0785401641311916,0.0,0.0,2.43,9,0.006911,0,0.0
2600,20260331,2026-04-30,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,12642965921.25,391642372.21,239005515.99,792495295.84,792495295.84,2.0235177602669134,0.0162,0.01228688,0.2056426578622645,-0.1762624196972909,0.55737984,92.60534,60.420234,0.085929,217.6782,46.9,4.06,2026-07-30,当前估值快照，历史估值待核验,16.543396,3.170194,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0431453680227486,0.0509,0.140137,55.74,38,0.006242,0,0.0
301236,20260331,2026-04-25,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,8117452606.11,-349890694.42,-359918730.9,-3442133896.54,-3442133896.54,9.837740618526276,-0.0282,-0.01449807,0.2453342422955435,,0.58397678,67.014046,105.303187,0.029969,-550.9058,670.34,,2026-07-30,当前估值快照，历史估值待核验,7.783908,-4.56587,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,,0.1018,0.015294045991466,,3,0.005749,0,0.01301
302132,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,5946010407.01,192737554.94,185726095.11,2309923488.39,2309923488.39,11.984812659417043,0.9,0.82805,1.551868759309435,1.040699651491419,0.79604699,294.81813,434.668485,0.652,771.2435,45.25,7.33,2026-07-30,当前估值快照，历史估值待核验,9.706345,3.038914,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.2648577383296584,0.0,0.0012742531601307,293.95,3,0.024451,0,0.026042
601825,20260331,2026-04-23,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,6640876000.0,3590018000.0,3577604000.0,7281519000.0,7281519000.0,2.028268103391125,0.02765,0.014092,-0.0094365674454011,0.0078574106336644,0.91635851,,,0.07572,,6.82,0.64,2026-07-30,当前估值快照，历史估值待核验,66.879158,55.247711,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.297400015159989,0.0426,0.0,5.5,0,0.00302,0,0.006017
601077,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,7830058000.0,3934557000.0,3931800000.0,86390969000.0,86390969000.0,21.95697482588256,0.029875,0.013126,0.0218138143888113,0.0022910075304238,0.9183489,,,0.091673,,6.12,0.57,2026-07-30,当前估值快照，历史估值待核验,60.649691,51.356937,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,3.587740984621333,0.0608999999999999,0.0,5.07,3,0.00145,0,0.003266
688047,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,134904672.46,-113970263.53,-115241059.58,-106081555.65,-106081555.65,0.9307827530123812,-0.0465,-0.04579481,0.0453853102172061,0.063417,0.20258892,315.03949,872.056363,0.0,60957.8835,-97.75,17.03,2026-07-30,当前估值快照，历史估值待核验,34.870788,-84.482072,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,,0.0,0.0,,3,0.003308,0,0.0
601058,20260331,2026-04-28,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,9460829799.47,1056350920.31,1030078521.89,176000013.02,176000013.02,0.1666113122411542,0.048,0.03305998,0.20769392152134,0.4106018803380047,0.51235948,60.971891,95.947209,0.120711,651.8512,13.31,2.1,2026-07-30,当前估值快照，历史估值待核验,26.862188,11.354359,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0125177544884413,0.0868999999999999,0.0132403305428045,22.72,3,0.002523,0,0.0
600160,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,6017793269.71,1173009944.11,1163598248.7,941112187.42,941112187.42,0.8023053786931464,0.0558,0.04300268,0.0955622355886338,1.0660708176610756,0.38405224,17.835635,60.433235,0.132726,3230.1945,25.78,4.95,2026-07-30,当前估值快照，历史估值待核验,34.387847,21.618086,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0311212326878644,0.0,0.0218803491605385,26.17,12,0.000789,0,0.0
600482,20260331,2026-04-30,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,12859720288.15,588004627.16,561428706.64,1455456503.04,1455456503.04,2.475246683125098,0.0144999999999999,0.01318945,0.1195727398979498,2.1363518730116144,0.54019247,87.806931,143.042753,0.019778,-1078.419,41.28,1.51,2026-07-30,当前估值快照，历史估值待核验,18.90736,9.114622,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0599623711997359,0.0454,0.0,29.24,10,0.004218,0,0.008702
